ranking,entity,entity_just_name,entity_category,amount_staked,amount_staked_broken_down,validators,marketshare,ow_change,om_change,sm_change,earned_rewards,last_deposit,last_withdrawal
1,<a href='https://x.com/LidoFinance' target='_blank'>Lido</a>,Lido,Liquid Staking,8921087.207945557,8921087.207945557,278783.97524829867,0.23282063783065646,-0.005,-0.033,0.046,1014110.5407793426," 2026-01-26 "," 2026-03-22 "
2,<a href='https://x.com/binance' target='_blank'>Binance</a>,Binance,CEXs,3329296.423597868,3329296.423597868,104040.51323743338,0.08688727044154565,0,0,0.012,259941.1493269733," 2026-01-12 "," 2026-02-18 "
3,<a href='https://x.com/ether_fi' target='_blank'>ether.fi</a>,ether.fi,Liquid Restaking,2310905.317778566,2310905.317778566,72215.79118058019,0.06030951581464968,0,-0.033,0.1,101946.50107044456," 2026-01-25 "," 2026-03-07 "
4,<a href='https://x.com/coinbase' target='_blank'>Coinbase</a>,Coinbase,CEXs,1782767.545011696,1782767.545011696,55711.4857816155,0.04652628847342052,0.001,-0.01,-0.28,448804.02629298175," 2026-03-23 "," 2026-03-22 "
5,<a href='https://x.com/Figment_io' target='_blank'>Figment</a>,Figment,Staking Pools,1453888.015196235,1453888.015196235,45434.00047488234,0.03794326040562122,-0.015,-0.029,-0.033,102634.23324519857," 2026-01-26 "," 2026-03-23 "
6,<a href='https://x.com/krakenfx' target='_blank'>Kraken</a>,Kraken,CEXs,1391970.1114686478,1391970.1114686478,43499.065983395245,0.03632734011440888,-0.004,-0.022,0.088,193290.28029957734," 2026-01-26 "," 2026-03-17 "
7,<a href='https://x.com/BlockdaemonHQ' target='_blank'>Blockdaemon</a>,Blockdaemon,Staking Pools,989248.3687742599,989248.3687742599,30914.011524195623,0.025817193669604267,0,-0,0.389,37892.76995782106," 2026-01-26 "," 2026-03-16 "
8,<a href='https://x.com/everstake_pool' target='_blank'>Everstake</a>,Everstake,Staking Pools,703840,703840,21995,0.018368666723129885,0,-0.003,0.024,34348.86574846094," 2026-01-26 "," 2026-03-06 "
9,<a href='https://x.com/Kiln_finance' target='_blank'>Kiln</a>,Kiln,Staking Pools,634478.9776694282,634478.9776694282,19827.468052169632,0.01655849750460601,-0.01,-0.011,-0.604,81052.07736710679," 2026-01-26 "," 2026-03-22 "
10,<a href='https://x.com/Rocket_Pool' target='_blank'>Rocket Pool</a>,Rocket Pool,Liquid Staking,486237.5242329301,486237.5242329301,15194.922632279066,0.012689723560630944,-0.002,-0.027,-0.22,70319.3031996972," 2026-01-15 "," 2026-03-23 "
11,<a href='https://x.com/upbitglobal' target='_blank'>Upbit</a>,Upbit,CEXs,435168,435168,13599,0.01135692197171372,-0,-0,0.137,33740.01481564892," 2026-01-26 "," 2026-03-23 "
12,<a href='https://x.com/BitcoinSuisseAG' target='_blank'>Bitcoin Suisse</a>,Bitcoin Suisse,CEXs,430263.85229145305,430263.85229145305,13445.745384107908,0.011228934567162544,0,-0.002,-0.044,73756.23777861317," 2025-12-30 "," 2026-03-09 "
13,<a href='https://x.com/okx' target='_blank'>OKX</a>,OKX,CEXs,405634.122276626,405634.122276626,12676.066321144563,0.010586153108133465,0,-0.039,-0.327,44305.891930078884," 2026-01-26 "," 2026-03-16 "
14,<a href='https://x.com/stakewise_io' target='_blank'>StakeWise</a>,StakeWise,Staking Pools,351552.130628507,351552.130628507,10986.004082140844,0.009174732784896094,-0.004,-0.011,0.116,12308.211675866962," 2026-03-17 "," 2026-03-22 "
15,<a href='https://x.com/P2Pvalidator' target='_blank'>P2P.org</a>,P2P.org,Staking Pools,324932.68617649097,324932.68617649097,10154.146443015343,0.008480024181386842,-0.002,-0.035,0.497,25034.07977583802," 2026-01-26 "," 2026-03-19 "
16,<a href='https://x.com/stakefish' target='_blank'>stakefish</a>,stakefish,Staking Pools,291017.80452654,291017.80452654,9094.306391454375,0.007594920808486265,0,-0.001,-0.19,58427.48896692309," 2026-01-25 "," 2026-03-13 "
17,<a href='https://x.com/liquid_col' target='_blank'>Liquid Collective</a>,Liquid Collective,Liquid Staking,265728.287525154,265728.287525154,8304.008985161063,0.0069349203689156435,0,-0.048,-0.268,10663.89508534003," 2026-01-26 "," 2026-02-28 "
18,<a href='https://x.com/DARMACapital' target='_blank'>DARMA Capital</a>,DARMA Capital,Staking Pools,234528,234528,7329,0.006120661896513704,0,-0.02,-0.02,54453.09029705102," 2022-12-05 "," 2026-03-11 "
19,<a href='https://x.com/0xMantle' target='_blank'>Mantle</a>,Mantle,Staking Pools,214720,214720,6710,0.005603716922582474,0,0,-0.159,23583.457471452944," 2026-01-22 "," 2026-01-01 "
20,<a href='https://x.com/Bitstamp' target='_blank'>Bitstamp</a>,Bitstamp,CEXs,190208.17967872,190208.17967872,5944.00561496,0.004964012645674604,-0.001,-0.01,-0.078,18137.953011024016," 2026-01-26 "," 2026-03-21 "
21,<a href='https://x.com/RenzoProtocol' target='_blank'>Renzo</a>,Renzo,Liquid Restaking,190017.252523127,190017.252523127,5938.039141347719,0.004959029869348334,0,0,0.076,17618.078687859044," 2026-01-23 "," 2026-02-20 "
22,<a href='https://x.com/KelpDAO' target='_blank'>Kelp DAO</a>,Kelp DAO,Liquid Restaking,149120.500123027,149120.500123027,4660.015628844594,0.0038917151175641225,0,0,0.046,7352.191636709007," 2025-12-29 "," 2026-02-21 "
23,<a href='https://x.com/coinspotau' target='_blank'>CoinSpot</a>,CoinSpot,CEXs,137664,137664,4302,0.003592725812362117,0,0,0,15344.371214293016," 2023-07-19 "," 2023-07-19 "
24,<a href='https://x.com/staderlabs' target='_blank'>Stader</a>,Stader,Liquid Staking,137475.734366207,137475.734366207,4296.116698943969,0.003587812495866092,0,-0.003,-0.125,8779.745270841002," 2025-11-29 "," 2026-02-27 "
25,<a href='https://x.com/divastaking' target='_blank'>Diva (Pre-launch)</a>,Diva (Pre-launch),Liquid Staking,133484.49746982686,133484.49746982686,4171.3905459320895,0.003483650043657257,0,0,0,0," 2026-03-19 ",Never
,↘️ Golem Foundation (w/ <a href='https://x.com/OctantApp' target='_blank'>Octant</a>),Golem Foundation,Staking Pools,0,100352,3136,0.002618965166798611,0,0,0,7286.74574038001," 2024-02-02 "," 2023-07-28 "
26,<a href='https://x.com/OctantApp' target='_blank'>Octant</a>,Octant,Staking Pools,100352,100352,3136,0.002618965166798605,0,0,0,7286.745740380006," 2024-02-02 "," 2023-07-28 "
27,<a href='https://x.com/Consensys' target='_blank'>Consensys</a>,Consensys,Staking Pools,97856,97856,3058,0.0025538250893080783,0,-0.059,-0.001,6058.332017955004," 2026-01-26 "," 2026-03-09 "
28,<a href='https://x.com/RevolutApp' target='_blank'>Revolut</a>,Revolut,CEXs,61920,61920,1935,0.0016159749992842158,-0.016,-0.051,0.019,4191.840560076001," 2026-01-26 "," 2026-03-16 "
29,<a href='https://x.com/fraxfinance' target='_blank'>Frax Finance</a>,Frax Finance,Liquid Staking,56320,56320,1760,0.0014698273895298293,0,0,-0.337,13303.892903622997," 2025-06-15 "," 2026-02-15 "
30,<a href='https://x.com/imTokenOfficial' target='_blank'>imToken</a>,imToken,Staking Pools,55936,55936,1748,0.0014598058391466714,-0.001,-0.001,-0.229,6768.283836361," 2026-01-16 "," 2026-03-18 "
31,<a href='https://x.com/gate_io' target='_blank'>Gate.io</a>,Gate.io,CEXs,54816.131129146,54816.131129146,1713.0040977858125,0.0014305797393763756,0,0,0,8328.220809296014," 2025-07-29 "," 2024-11-30 "
32,<a href='https://x.com/bitfinex' target='_blank'>Bitfinex</a>,Bitfinex,CEXs,52098.937372527995,52098.937372527995,1628.0917928914998,0.0013596669942390071,-0,-0,-0,5099.156918254001," 2025-03-05 "," 2025-04-20 "
33,Cluster 0x82df,Cluster 0x82df,Unidentified,49376,49376,1543,0.00128860435343439,0,0,0,8914.336745350987," 2024-05-23 ",Never
34,<a href='https://x.com/XHash_com' target='_blank'>XHash</a>,XHash,CEXs,41056.113771322,41056.113771322,1283.0035553538125,0.0010714737309790818,-0.008,-0.008,-0.008,3024.9437787299976," 2025-08-20 "," 2026-03-21 "
35,<a href='https://x.com/stakedTokens' target='_blank'>StakeHound</a>,StakeHound,Liquid Staking,37504,37504,1172,0.000978771420755091,0,0,0,449.5317987520002," 2023-05-11 "," 2023-12-19 "
36,<a href='https://x.com/myetherwallet' target='_blank'>MyEtherWallet</a>,MyEtherWallet,Staking Pools,35075.352852756994,35075.352852756994,1096.104776648656,0.0009153891037003811,0,-0.003,-0.095,9135.889677223993," 2025-12-28 "," 2026-03-11 "
37,<a href='https://x.com/puffer_finance' target='_blank'>Puffer Finance</a>,Puffer Finance,Liquid Restaking,28740.620318201996,28740.620318201996,898.1443849438124,0.000750066600422067,-0,-0,-0.09,3812.787938394005," 2025-10-28 "," 2026-02-17 "
38,<a href='https://x.com/bitgetglobal' target='_blank'>Bitget</a>,Bitget,CEXs,27072,27072,846,0.0007065193020126338,0,0,0.005,1088.3878704349995," 2026-01-26 "," 2025-12-24 "
39,GMO Coin,GMO Coin,CEXs,21280,21280,665,0.0005553609170666684,0,0,1.111,12.570298691999996," 2025-10-25 "," 2023-05-25 "
40,<a href='https://x.com/kucoincom' target='_blank'>KuCoin</a>,KuCoin,CEXs,20000,20000,625,0.0005219557491228087,0,0,-0.244,4943.5003754360005," 2022-10-12 "," 2026-01-20 "
41,<a href='https://x.com/rockx_official' target='_blank'>RockX</a>,RockX,Staking Pools,18881,18881,590.03125,0.0004927523249593876,0,-0.002,-0.095,2699.9322502889977," 2026-01-08 "," 2026-03-02 "
42,<a href='https://x.com/swellnetworkio' target='_blank'>Swell</a>,Swell,Liquid Restaking,18304.765388192,18304.765388192,572.023918381,0.00047771387653555085,-0.012,-0.024,-0.215,8154.485994608011," 2025-10-29 "," 2026-03-22 "
43,<a href='https://x.com/MercadoBitcoin' target='_blank'>Mercado Bitcoin</a>,Mercado Bitcoin,CEXs,17888,17888,559,0.0004668372220154401,0,0,-0.068,1243.616570926," 2025-03-16 "," 2026-01-14 "
44,<a href='https://x.com/WEXnz' target='_blank'>WEX Exchange</a>,WEX Exchange,CEXs,16000,16000,500,0.000417564599298247,0,0,0,3674.320595584997," 2020-11-14 ",Never
45,<a href='https://x.com/originprotocol' target='_blank'>Origin Protocol</a>,Origin Protocol,Staking Pools,15520,15520,485,0.0004050376613192996,0,0,-0.03,945.6122672960003," 2024-11-11 "," 2026-01-23 "
,↘️ <a href='https://x.com/Bitpanda_global' target='_blank'>Bitpanda</a> (w/ <a href='https://x.com/Kiln_finance' target='_blank'>Kiln</a>),Bitpanda,CEXs,0,13360,417.5,0.000348666440414037,-0.003,-0.003,-0.919,9707.722313407012," 2025-11-06 "," 2025-10-28 "
46,<a href='https://x.com/etherscan.io/address/0xc372d454835ac654d43b99c7789cc1c32f364237' target='_blank'>Cluster 0xc372</a>,Cluster 0xc372,Unidentified,11968,11968,374,0.00031233832027508873,0,0,0,1842.4902439239986," 2021-11-05 ",Never
47,CoinEx,CoinEx,CEXs,9952,9952,311,0.0002597251807635096,0,0,0,329.31518385600003," 2025-07-11 "," 2025-09-18 "
48,<a href='https://x.com/ankr' target='_blank'>Stkr (Ankr)</a>,Stkr (Ankr),Liquid Staking,8908.478085744997,8908.478085744997,278.38994017953115,0.00023249156763945774,-0,-0.004,-0.103,7420.308616457996," 2025-11-05 "," 2026-03-11 "
49,<a href='https://x.com/swellnetworkio' target='_blank'>Swell (Pre-launch)</a>,Swell (Pre-launch),Liquid Staking,7723.319050789183,7723.319050789183,241.35372033716197,0.00020156153904345639,0,0,0,0," 2026-02-19 ",Never
50,was.eth,was.eth,Solo Stakers,7690,7690,240.3125,0.00020069198553771995,0,0,0,1561.174417220001," 2024-10-22 "," 2025-09-06 "
51,<a href='https://x.com/VitalikButerin' target='_blank'>Vitalik Buterin</a>,Vitalik Buterin,Solo Stakers,6976,6976,218,0.00018205816529403567,0,0,0,1520.0144075540002," 2020-11-24 ",Never
52,<a href='https://x.com/Cryptostakecom' target='_blank'>cryptostake.com</a>,cryptostake.com,Staking Pools,6592,6592,206,0.00017203661491087775,0,0,0,1154.2302324389998," 2022-10-29 ",Never
53,honoraryape.eth,honoraryape.eth,Solo Stakers,6368,6368,199,0.00016619071052070228,0,0,-0.204,1644.6614951469996," 2020-12-21 "," 2025-11-11 "
54,<a href='https://x.com/BitpieWallet' target='_blank'>Bitpie</a>,Bitpie,Staking Pools,5088,5088,159,0.00013278554257684254,0,0,-0.18,4839.730141213001," 2020-12-23 "," 2026-02-14 "
55,<a href='https://x.com/Paxos' target='_blank'>Paxos</a>,Paxos,CEXs,4800,4800,150,0.00012526937978947408,0,0,0,1324.5010003080008," 2021-03-18 "," 2025-03-14 "
56,<a href='https://x.com/Teku_Consensys' target='_blank'>Teku Team</a>,Teku Team,Solo Stakers,4608,4608,144,0.00012025860459789513,0,0,0,1034.5968593720002," 2020-12-18 ",Never
57,<a href='https://x.com/prylabs' target='_blank'>Prysm Team</a>,Prysm Team,Solo Stakers,4608,4608,144,0.00012025860459789513,0,0,0,1060.870160879," 2020-11-21 ",Never
58,<a href='https://x.com/ethnimbus' target='_blank'>Nimbus Team</a>,Nimbus Team,Solo Stakers,4384,4384,137,0.00011441270020771968,0,0,-0.035,1044.8690053809999," 2020-11-21 "," 2026-02-05 "
59,<a href='https://x.com/sigp_io' target='_blank'>Sigma Prime Team</a>,Sigma Prime Team,Solo Stakers,4096,4096,128,0.00010689653742035122,0,0,0,1016.2306048510001," 2020-11-20 "," 2025-08-11 "
60,peleg.eth,peleg.eth,Solo Stakers,3200,3200,100,0.0000835129198596494,0,0,0,253.82728050799997," 2023-05-26 "," 2023-05-25 "
61,pottash.eth,pottash.eth,Solo Stakers,3200,3200,100,0.0000835129198596494,0,0,0,325.7285244650001," 2023-03-11 ",Never
62,amiga500.eth,amiga500.eth,Solo Stakers,3200,3200,100,0.0000835129198596494,0,0,0,476.71245351600004," 2023-10-04 "," 2024-12-25 "
63,greedland.eth,greedland.eth,Solo Stakers,3200,3200,100,0.0000835129198596494,0,0,0,639.8000080889999," 2021-01-08 ",Never
64,coinspiracy.eth,coinspiracy.eth,Solo Stakers,3200,3200,100,0.0000835129198596494,0,0,0,688.327002121," 2020-11-23 ",Never
65,bitshameddesk.eth,bitshameddesk.eth,Solo Stakers,3168,3168,99,0.0000826777906610529,0,0,-0.02,762.1989983149999," 2023-01-15 "," 2025-09-28 "
66,epstrom.eth,epstrom.eth,Solo Stakers,2368,2368,74,0.00006179956069614055,0,0,0,350.22394859700006," 2024-01-19 "," 2024-01-19 "
67,<a href='https://x.com/StaFi_Protocol' target='_blank'>StaFi</a>,StaFi,Liquid Staking,2336.03734031,2336.03734031,73.0011668846875,0.00006096540599701799,0,0,0.014,570.6057390849999," 2026-01-11 "," 2025-11-26 "
68,<a href='https://x.com/dxpoolOfficial' target='_blank'>DxPool</a>,DxPool,Staking Pools,2213,2213,69.15625,0.000057754403640438784,0,0,1.372,46.76274536000002," 2026-01-26 "," 2026-01-19 "
69,godavego.eth,godavego.eth,Solo Stakers,2144,2144,67,0.00005595365630596509,0,0,0,292.72934740600004," 2023-06-04 ",Never
